FILENAME,MJD,BAND,FIELD_NO_S,FLUXCAL_NO_S,FLUXCALERR_NO_S,PHOTFLAG_NO_S,GAIN_NO_S,ZPT_NO_S,PSF_NO_S,SKY_SIG_NO_S,SIM_MAGOBS_NO_S,FIELD_PLUS_S,FLUXCAL_PLUS_S,FLUXCALERR_PLUS_S,PHOTFLAG_PLUS_S,GAIN_PLUS_S,ZPT_PLUS_S,PSF_PLUS_S,SKY_SIG_PLUS_S,SIM_MAGOBS_PLUS_S
SN000841,61454.0322,LSST-Y,DDF,89.9436,19.802,0,1.0,30.24,1.44,47.94,22.7644,DDF,119.728,19.862,0,1.0,30.24,1.44,47.94,22.7994
SN000855,60991.2286,LSST-i,DDF,173.798,1.7199,4096,1.0,34.16,1.88,111.2,21.9136,DDF,169.385,1.7171,4096,1.0,34.16,1.88,111.2,21.9345
SN000855,60991.2383,LSST-r,DDF,192.083,1.3311,4096,1.0,34.26,1.99,84.6,21.794,DDF,191.967,1.3311,4096,1.0,34.26,1.99,84.6,21.792
SN000855,60991.2479,LSST-Y,DDF,107.849,8.6247,4096,1.0,32.65,2.11,131.6,22.3839,DDF,118.14,8.6299,4096,1.0,32.65,2.11,131.6,22.3022
SN000855,60991.2574,LSST-z,DDF,158.537,2.3765,6144,1.0,34.04,1.59,168.1,21.9959,DDF,157.302,2.3759,6144,1.0,34.04,1.59,168.1,21.9856
SN000855,60992.3357,LSST-r,DDF,199.377,4.2463,4096,1.0,31.74,1.74,30.14,21.7738,DDF,196.825,4.2402,4096,1.0,31.74,1.74,30.14,21.7774
SN000855,60993.2247,LSST-r,DDF,194.334,2.5888,4096,1.0,32.49,1.81,33.62,21.7633,DDF,199.763,2.5993,4096,1.0,32.49,1.81,33.62,21.7714
SN000855,60994.2611,LSST-r,DDF,199.242,3.9023,4096,1.0,31.73,1.94,23.92,21.7535,DDF,196.888,3.8961,4096,1.0,31.73,1.94,23.92,21.7669
SN000855,60996.0385,LSST-i,DDF,204.087,6.2299,4096,1.0,31.6,1.84,39.1,21.778,DDF,186.387,6.1973,4096,1.0,31.6,1.84,39.1,21.8064
SN000855,60996.1607,LSST-r,DDF,196.837,2.4621,4096,1.0,32.47,1.58,34.9,21.7457,DDF,194.101,2.4564,4096,1.0,32.47,1.58,34.9,21.7683
SN000855,60999.2076,LSST-i,DDF,194.289,1.2632,4096,1.0,34.17,1.28,111.4,21.7808,DDF,189.518,1.2591,4096,1.0,34.17,1.28,111.4,21.7974
SN000855,60999.2174,LSST-r,DDF,198.754,0.94252,4096,1.0,34.25,1.31,75.68,21.7608,DDF,189.543,0.93272,4096,1.0,34.25,1.31,75.68,21.7977
SN000855,60999.232,LSST-z,DDF,171.128,1.986,4096,1.0,34.04,1.33,164.6,21.919,DDF,164.841,1.9822,4096,1.0,34.04,1.33,164.6,21.9253
SN000470,61338.201,LSST-z,DDF,69.8214,6.2053,4096,1.0,32.11,1.41,85.55,22.8039,DDF,78.9543,6.2158,4096,1.0,32.11,1.41,85.55,22.8747
SN000470,61338.225,LSST-i,DDF,71.1605,6.6978,4096,1.0,32.46,2.1,86.0,22.9111,DDF,62.1211,6.6908,4096,1.0,32.46,2.1,86.0,22.9223
SN000470,61339.257,LSST-Y,DDF,80.8531,14.009,0,1.0,31.75,1.98,99.62,22.9111,DDF,65.5361,13.998,4096,1.0,31.75,1.98,99.62,23.0517
SN000470,61341.3059,LSST-z,DDF,79.9437,7.0868,4096,1.0,32.1,1.73,79.02,22.8015,DDF,82.5578,7.0894,4096,1.0,32.1,1.73,79.02,22.8681
SN000470,61341.3298,LSST-Y,DDF,33.8078,16.958,0,1.0,31.0,1.81,66.23,22.9239,DDF,72.2082,17.003,0,1.0,31.0,1.81,66.23,23.0566
SN000470,61342.1491,LSST-i,DDF,66.7722,2.1608,4096,1.0,34.17,1.83,152.7,22.922,DDF,65.8925,2.1604,4096,1.0,34.17,1.83,152.7,22.9289
SN000470,61342.1684,LSST-Y,DDF,60.9599,6.9814,4096,1.0,32.63,1.59,138.8,22.9357,DDF,51.7325,6.9756,4096,1.0,32.63,1.59,138.8,23.0595
SN000470,61342.1779,LSST-z,DDF,77.4,2.5433,4096,1.0,34.04,1.55,188.4,22.8117,DDF,71.7709,2.5407,4096,1.0,34.04,1.55,188.4,22.8727
SN001008,61367.1296,LSST-z,DDF,159.862,8.4923,4096,1.0,31.35,1.35,59.53,21.9751,DDF,159.892,8.4923,4096,1.0,31.35,1.35,59.53,21.9967
SN001008,61367.1535,LSST-Y,DDF,74.619,28.611,0,1.0,30.23,2.05,48.48,22.3345,DDF,98.0983,28.644,0,1.0,30.23,2.05,48.48,22.3466
SN001008,61369.0581,LSST-i,DDF,185.108,1.7202,4096,1.0,35.02,1.82,263.1,21.8165,DDF,179.683,1.7187,4096,1.0,35.02,1.82,263.1,21.8631
SN001008,61369.0633,LSST-r,DDF,203.603,1.8688,4096,1.0,35.13,2.03,285.1,21.7222,DDF,187.319,1.865,4096,1.0,35.13,2.03,285.1,21.813
SN001008,61369.0726,LSST-Y,DDF,120.253,5.0538,4096,1.0,33.42,1.66,198.4,22.3111,DDF,111.927,5.0503,4096,1.0,33.42,1.66,198.4,22.3155
SN001008,61369.0864,LSST-z,DDF,173.271,2.0575,4096,1.0,34.85,1.67,295.5,21.8882,DDF,169.913,2.0565,4096,1.0,34.85,1.67,295.5,21.8978
SN001008,61376.095,LSST-r,DDF,211.777,3.1312,4096,1.0,31.75,1.34,24.92,21.667,DDF,195.478,3.0789,4096,1.0,31.75,1.34,24.92,21.7605
SN001008,61376.1197,LSST-i,DDF,212.507,4.45,4096,1.0,31.66,1.38,36.76,21.7096,DDF,195.431,4.4083,4096,1.0,31.66,1.38,36.76,21.7618
SN001008,61377.0797,LSST-r,DDF,205.643,3.8488,4096,1.0,31.74,1.84,24.87,21.6888,DDF,198.009,3.8287,4096,1.0,31.74,1.84,24.87,21.7714
SN001008,61378.0592,LSST-i,DDF,199.745,1.6468,4096,1.0,34.91,2.59,158.4,21.7464,DDF,189.301,1.6434,4096,1.0,34.91,2.59,158.4,21.7982
SN001008,61378.0689,LSST-r,DDF,208.504,1.0694,4096,1.0,34.99,2.46,109.8,21.7167,DDF,192.18,1.0616,4096,1.0,34.99,2.46,109.8,21.7868
SN001008,61378.0839,LSST-z,DDF,169.456,2.5135,4096,1.0,34.78,2.44,233.4,21.9174,DDF,170.929,2.5139,4096,1.0,34.78,2.44,233.4,21.9186
SN000316,61359.275,LSST-i,DDF,105.13,4.6955,6144,1.0,31.66,1.59,36.39,22.4825,DDF,109.692,4.7061,6144,1.0,31.66,1.59,36.39,22.3885
SN000316,61362.2426,LSST-z,DDF,111.576,8.3951,4096,1.0,31.34,1.68,47.3,22.4435,DDF,109.877,8.3921,4096,1.0,31.34,1.68,47.3,22.3134
SN000316,61362.2666,LSST-Y,DDF,114.875,19.434,4096,1.0,30.25,1.54,44.27,22.6718,DDF,103.658,19.411,0,1.0,30.25,1.54,44.27,22.625
SN000316,61365.0923,LSST-z,DDF,67.7827,12.16,4096,1.0,31.34,2.05,57.1,22.4881,DDF,92.9368,12.19,4096,1.0,31.34,2.05,57.1,22.3783
SN000316,61365.1163,LSST-Y,DDF,53.5525,35.893,0,1.0,30.26,2.78,46.2,22.7086,DDF,110.263,35.955,0,1.0,30.26,2.78,46.2,22.6752
SN001020,60912.2121,LSST-i,DDF,130.296,3.7165,4096,1.0,33.99,3.03,134.8,22.1932,DDF,126.014,3.715,4096,1.0,33.99,3.03,134.8,22.226
SN001020,60912.2364,LSST-z,DDF,112.915,5.0469,6144,1.0,33.95,2.73,197.1,22.3237,DDF,113.998,5.0472,6144,1.0,33.95,2.73,197.1,22.3507
SN001020,60919.2202,LSST-i,DDF,148.423,3.5459,4096,1.0,34.06,2.88,144.1,22.0509,DDF,151.967,3.5471,4096,1.0,34.06,2.88,144.1,22.0329
SN001020,60919.2394,LSST-Y,DDF,83.752,19.101,0,1.0,32.48,3.67,144.0,22.6559,DDF,50.4457,19.092,4096,1.0,32.48,3.67,144.0,22.7195
SN001020,60919.2489,LSST-z,DDF,139.749,4.7008,4096,1.0,33.99,2.73,190.1,22.1602,DDF,139.449,4.7007,4096,1.0,33.99,2.73,190.1,22.1664
SN001020,60923.2372,LSST-Y,DDF,130.319,36.639,0,1.0,30.14,2.37,49.4,22.6959,DDF,35.9508,36.526,0,1.0,30.14,2.37,49.4,22.7333
SN001020,60924.3326,LSST-z,DDF,152.512,10.724,4096,1.0,31.35,1.79,57.47,22.2211,DDF,117.829,10.678,4096,1.0,31.35,1.79,57.47,22.2609
SN001020,60924.3568,LSST-Y,DDF,67.3388,20.598,0,1.0,30.27,1.6,46.28,22.7175,DDF,60.4828,20.585,4096,1.0,30.27,1.6,46.28,22.7461
SN001752,61582.3359,LSST-i,DDF,88.9338,2.0027,4096,1.0,34.91,2.39,214.9,22.6115,DDF,98.9724,2.0054,4096,1.0,34.91,2.39,214.9,22.5421
SN001752,61582.3549,LSST-Y,DDF,83.7239,6.5346,4096,1.0,33.36,2.05,197.7,22.7314,DDF,88.5177,6.5363,4096,1.0,33.36,2.05,197.7,22.6652
SN001752,61582.365,LSST-z,DDF,89.6424,3.0457,6144,1.0,34.78,2.65,263.2,22.5846,DDF,97.0785,3.0472,6144,1.0,34.78,2.65,263.2,22.5308
SN001752,61583.3957,LSST-i,DDF,93.7439,5.4964,4096,1.0,31.68,1.68,41.91,22.602,DDF,94.015,5.4969,4096,1.0,31.68,1.68,41.91,22.5294
SN001752,61590.2485,LSST-i,DDF,85.1113,2.2134,4096,1.0,34.8,2.78,184.9,22.6419,DDF,92.1494,2.2153,4096,1.0,34.8,2.78,184.9,22.5711
